0,1,2,header,description
0,7,9,Presence Present,Allies in your Presence have +100 to Accuracy Rating\n35% increased Attack Damage while you have an Ally in your Presence
7,0,9,Breath of Fire,Damage Penetrates 15% Fire Resistance\n+10 to Strength
7,9,0,Lavianga's Brew,30% increased Mana Cost Efficiency of Attacks during any Mana Flask Effect
9,0,7,Martial Artistry,25% increased Accuracy Rating with Quarterstaves\n25% increased Critical Damage Bonus with Quarterstaves\n+25 to Dexterity
9,7,0,Archon of the Blizzard,Gain Elemental Archon when your Energy Shield Recharge begins
6,9,6,Giantslayer,25% increased Damage with Hits against Rare and Unique Enemies\n20% increased Accuracy Rating against Rare or Unique Enemies\n20% increased chance to inflict Ailments against Rare or Unique Enemies
9,6,6,Endless Circuit,25% chance on Consuming a Shock on an Enemy to reapply it
5,6,9,The Spring Hare,20% chance for Damage of Enemies Hitting you to be Unlucky\n20% chance for Damage with Hits to be Lucky
5,9,6,Fated End,30% increased Curse Duration\nTargets Cursed by you have 50% reduced Life Regeneration Rate\nEnemies you Curse cannot Recharge Energy Shield
6,5,9,Remnant Attraction,10% chance to create an additional Remnant\nRemnants can be collected from 50% further away
6,9,5,Escalating Toxins,"10% increased Poison Duration for each Poison you have inflicted Recently, up to a maximum of 100%"
9,5,6,Pack Encouragement,"5% increased Attack Damage for each Minion in your Presence , up to a maximum of 80%"
9,6,5,Final Barrage,10% reduced Cast Speed when on Full Life\n20% increased Cast Speed when on Low Life
4,9,6,Exposed to the Storm,Damage Penetrates 18% Lightning Resistance\n15% increased Critical Hit Chance against enemies with Exposure
6,4,9,Cut to the Bone,Break Armour on Critical Hit with Spells equal to 10% of Physical Damage dealt\n20% increased Magnitude of Impale s inflicted with Spells\n20% increased Physical Damage
6,9,4,Lasting Toxins,10% increased Skill Effect Duration\n40% increased Poison Duration
9,4,6,Decrepifying Curse,20% increased duration of Ailments you inflict against Cursed Enemies
9,6,4,Lingering Whispers,40% increased Curse Duration\n10% increased Curse Magnitudes
3,6,9,Efficient Loading,30% chance when you Reload a Crossbow to be immediate
3,9,6,Reusable Ammunition,Bolts fired by Crossbow Attacks have 30% chance to not expend Ammunition if you've Reloaded Recently
6,9,3,Pierce the Heart,Arrows Pierce an additional Target
9,6,3,Tempered Mind,20% increased Critical Damage Bonus\n+10 to Strength\n20% increased Physical Damage
2,6,9,Nimble Strength,10% increased Attack Damage\nGain Accuracy Rating equal to your Strength
2,9,6,Climate Change,20% increased Freeze Buildup\nGain 25% of Cold Damage as Extra Fire Damage against Frozen Enemies
6,2,9,Unexpected Finesse,10% increased Attack Damage\n30% increased Accuracy Rating while moving
6,9,2,Blood Tearing,15% increased Magnitude of Bleeding you inflict\n25% increased Physical Damage
9,2,6,Arsonist,Ignites you inflict deal Damage 18% faster
9,6,2,Struck Through,Attacks have +1% to Critical Hit Chance
1,9,6,Staggering Palm,20% increased Critical Damage Bonus\n20% increased Knockback Distance\n20% increased Physical Damage
6,9,1,Event Horizon,53% increased Chaos Damage\nLose 3% of maximum Life and Energy Shield when you use a Chaos Skill
9,6,1,Stormbreaker,20% increased Damage for each type of Elemental Ailment on Enemy
0,6,9,Engineered Blaze,"4% increased Area of Effect for Attacks per Enemy you've Ignited in the last 8 seconds, up to 40%"
0,9,6,Kite Runner,3% increased Movement Speed\n15% increased Projectile Speed\n15% increased Projectile Damage
6,0,9,Soul Bloom,20% increased Energy Shield Recovery rate
6,9,0,Maiming Strike,25% increased Attack Damage\nAttacks have 25% chance to Maim on Hit
9,0,6,Blood of the Wolf,15% increased amount of Life Leeched while Shapeshifted\n15% increased Life Regeneration rate while Shapeshifted\n+1% to Maximum Cold Resistance while Shapeshifted
9,6,0,Grip of Evil,Minions have 40% increased Critical Damage Bonus
5,5,9,Harness the Elements,20% increased Damage for each type of Elemental Ailment on Enemy
5,9,5,Stripped Defences,Exposure you inflict lowers Resistances by an additional 5%
9,5,5,Lingering Horror,23% increased Chaos Damage\n15% increased Skill Effect Duration
4,5,9,Burning Strikes,Gain 12% of Physical Damage as Extra Fire Damage
4,9,5,Resurging Archon,Archon recovery period expires 25% faster
5,4,9,Exploit,"25% increased Damage with Hits against Enemies affected by Elemental Ailments\n15% increased Duration of Ignite , Shock and Chill on Enemies"
5,9,4,Shattering Daze,5% chance to Daze on Hit\nGain 12% of Physical Damage as Extra Cold Damage against Dazed Enemies
9,4,5,Exposed to the Inferno,Damage Penetrates 18% Fire Resistance\n15% increased Duration of Ailments against Enemies with Exposure
9,5,4,Electrifying Daze,5% chance to Daze on Hit\nGain 12% of Physical Damage as Extra Lightning Damage against Dazed Enemies
3,5,9,Psychic Fragmentation,12% chance for Spell Skills to fire 2 additional Projectiles
5,3,9,Breath of Lightning,Damage Penetrates 15% Lightning Resistance\n+10 to Dexterity
5,9,3,Enduring Archon,30% increased Archon Buff duration
9,3,5,Split the Earth,10% chance for Mace Slam Skills you use yourself to cause an additional Aftershock\nStrike Skills you use yourself with Maces have 10% chance to deal Splash Damage
9,5,3,Stacking Toxins,Targets can be affected by +1 of your Poisons at the same time\n20% reduced Magnitude of Poison you inflict
2,5,9,Pliable Flesh,6% of Damage taken Recouped as Life\n25% increased speed of Recoup Effects
2,9,5,Momentum,Ignore all Movement Penalties from Armour\n5% reduced Slowing Potency of Debuffs on You
5,2,9,Stand and Deliver,Projectiles have 40% increased Critical Damage Bonus against Enemies within 2m\nProjectiles deal 25% increased Damage with Hits against Enemies within 2m
5,9,2,Light on your Feet,3% increased Movement Speed\nImmune to Hinder\nImmune to Maim
9,2,5,Lasting Incantations,20% increased Spell Damage\n15% increased Skill Effect Duration
9,5,2,Sanguine Tolerance,Immune to Corrupted Blood\n40% reduced Duration of Bleeding on You
1,5,9,Marked for Sickness,Enemies you Mark have 10% reduced Accuracy Rating\nEnemies you Mark take 10% increased Damage
1,9,5,Molten Being,Gain 5% of Damage as Extra Fire Damage\n5% of Physical Damage taken as Fire Damage
5,1,9,Battle Fever,5% increased Skill Speed\n25% increased Physical Damage
5,9,1,Adaptive Skin,+1% to Maximum Resistances of each Elemental Damage Type you have been Hit with Recently
9,1,5,Snowpiercer,Damage Penetrates 15% Cold Resistance\n+10 to Intelligence
9,5,1,Incendiary,60% increased Flammability Magnitude\n30% increased Damage with Hits against Burning Enemies
0,5,9,Revenge,Gain Physical Thorns damage equal to 10% of Item Armour on Equipped Body Armour
0,9,5,Multi Shot,+24% Surpassing chance to fire an additional Projectile
5,0,9,Savouring,20% increased Flask Effect Duration\n20% chance for Flasks you use to not consume Charges
5,9,0,Deep Freeze,20% increased Freeze Buildup\nEnemies Frozen by you have -8% to Cold Resistance
9,0,5,Void,29% increased Chaos Damage\nEnemies you Curse have -3% to Chaos Resistance
9,5,0,Lucky Rabbit Foot,30% increased Damage while you have an active Charm\n6% increased Movement Speed while you have an active Charm
4,4,9,Material Solidification,Gain 8% of Damage as Extra Physical Damage\n15% increased effect of Fully Broken Armour
4,9,4,Crippling Toxins,25% chance for Attacks to Maim on Hit against Poisoned Enemies\n25% increased Magnitude of Poison you inflict
9,4,4,Pinpoint Shot,Attacks gain increased Accuracy Rating equal to their Critical Hit Chance
3,4,9,Dangerous Blossom,Gain 10% of Damage as Extra Physical Damage
3,9,4,Overload,Damage Penetrates 10% Lightning Resistance if on Low Mana\nDamage Penetrates 15% Lightning Resistance
4,3,9,Hidden Barb,20% increased chance to inflict Ailments\n20% increased Physical Damage
4,9,3,Invigorating Archon,Archon Buffs also grant 10% increased Movement Speed\nArchon Buffs also grant +20% to all Elemental Resistances
9,3,4,Energising Archon,20% faster start of Energy Shield Recharge while affected by an Archon Buff\n40% increased Energy Shield Recharge Rate while affected by an Archon Buff
9,4,3,Invocated Efficiency,10% increased Mana Cost Efficiency\nTriggered Spells deal 40% increased Spell Damage
2,4,9,Throatseeker,60% increased Critical Damage Bonus\n20% reduced Critical Hit Chance
2,9,4,Spiral into Insanity,29% increased Chaos Damage\n20% increased Defences
4,2,9,Inner Faith,20% increased Evasion Rating\n20% increased maximum Energy Shield\n25% reduced effect of Curses on you
4,9,2,Storm Surge,Damage Penetrates 8% Cold Resistance\nDamage Penetrates 15% Lightning Resistance
9,2,4,Mystical Rage,Every Rage also grants 2% increased Spell Damage
9,4,2,Overflowing Power,+2 to Maximum Power Charges
1,4,9,Saqawal's Guidance,20% increased Elemental Damage with Attacks\n15% increased Accuracy Rating\n+10 to Dexterity
1,9,4,Endurance,+2 to Maximum Endurance Charges
4,1,9,Gigantic Following,Your Minions are Gigantic\n25% reduced Reservation Efficiency of Minion Skills
4,9,1,Pure Chaos,Gain 11% of Damage as Extra Chaos Damage
9,1,4,Finality,120% increased Damage with Hits against Enemies that are on Low Life\n5% increased Damage taken while on Low Life
9,4,1,Iron Slippers,+3 to Armour per 1 Item Energy Shield on Equipped Boots\n10% reduced Slowing Potency of Debuffs on You
0,4,9,Reinforced Rallying,+ 1 to maximum number of placed Banners
0,9,4,Versatile Arms,6% increased Attack Speed with One Handed Melee Weapons\n15% increased Accuracy Rating with One Handed Melee Weapons\n+10 to Strength and Dexterity
4,0,9,Precise Invocations,Invocated Spells have 30% increased Critical Hit Chance
4,9,0,Impending Doom,40% faster Curse Activation\nYour Curses have 20% increased Magnitudes if 50% of Curse Duration expired
9,0,4,Deadly Invocations,Invocation Spells have 50% increased Critical Damage Bonus
9,4,0,Adamant Recovery,Increases and Reductions to Armour also apply to Energy Shield Recharge Rate at 40% of their value
3,3,9,Deterioration,Damaging Ailments Cannot Be inflicted on you while you already have one\n20% increased Magnitude of Damaging Ailments you inflict
3,9,3,Near at Hand,16% reduced Skill Effect Duration\n10% reduced Slowing Potency of Debuffs on You
9,3,3,Falcon Dive,"4% increased Attack Speed\n1% increased Attack Speed per 400 Accuracy Rating, up to 20%"
2,3,9,Heavy Buffer,40% increased maximum Energy Shield\n5% of Damage taken bypasses Energy Shield
2,9,3,Infused Limits,+1 to maximum number of Elemental Infusions
3,2,9,Fast Acting Toxins,Damaging Ailments deal damage 12% faster
3,9,2,Efficient Inscriptions,Meta Skills have 20% increased Reservation Efficiency
9,2,3,Burnout,Ignites you inflict deal Damage 15% faster
9,3,2,Tukohama's Brew,50% of Skill Mana costs Converted to Life Costs during any Life Flask Effect
1,3,9,One with the River,10% chance to Daze on Hit\n30% increased Defences while wielding a Quarterstaff\n30% increased Freeze Buildup with Quarterstaves\n30% increased Stun Buildup with Quarterstaves
1,9,3,Steadfast Resolve,You cannot be Light Stunned if you've been Stunned Recently
3,1,9,Glaciation,Damage Penetrates 18% Cold Resistance\nGain 6% of Elemental Damage as Extra Cold Damage
3,9,1,Conductive Embrace,+10% to Lightning Resistance\n+2% to Maximum Lightning Resistance if you have at least 5 Green Support Gems Socketed
9,1,3,Energise,25% chance for Trigger skills to refund half of Energy Spent
9,3,1,Reaching Strike,25% increased Melee Damage\n+2 to Melee Strike Range
0,3,9,Inescapable Cold,40% increased Freeze Buildup\n20% increased Freeze Duration on Enemies
0,9,3,Haemorrhaging Cuts,Enemies you inflict Bleeding on cannot Regenerate Life
3,0,9,Flash Storm,30% increased chance to Shock\nDamage Penetrates 15% Lightning Resistance
3,9,0,Embodiment of Frost,Immune to Freeze and Chill while affected by an Archon Buff
9,3,0,Embodiment of Lightning,Immune to Shock while affected by an Archon Buff
2,2,9,One With Flame,50% reduced Magnitude of Ignite on you
2,9,2,Burning Nature,25% increased Fire Damage\n15% increased Ignite Duration on Enemies
9,2,2,Unforgiving,+4 to Maximum Rage\nInherent loss of Rage is 20% slower
1,2,9,Invocated Echoes,Invocated Spells have 40% chance to consume half as much Energy
1,9,2,Shredding Force,15% increased Critical Hit Chance for Spells\n15% increased Critical Spell Damage Bonus\n15% increased Magnitude of Damaging Ailments you inflict with Critical Hits
2,1,9,Passthrough Rounds,Projectiles Pierce enemies with Fully Broken Armour
2,9,1,Firestarter,80% increased Flammability Magnitude\nEnemies Ignited by you have -5% to Fire Resistance
9,1,2,Captivating Companionship,5% of Damage from Hits is taken from your Damageable Companion 's Life before you\n20% increased Defences while your Companion is in your Presence
9,2,1,Escalation,25% increased Warcry Speed\n20% increased Damage for each different Warcry you've used Recently
0,2,9,Expendable Army,20% increased Minion Duration\nTemporary Minion Skills have +2 to Limit of Minions summoned
0,9,2,Full Salvo,25% increased Damage with Crossbows for each type of Ammunition fired in the past 10 seconds
2,0,9,Refills,Life Flasks gain 0.15 charges per Second
2,9,0,Crushing Judgement,25% increased Armour Break Duration\n25% increased Attack Area Damage
9,0,2,Invocated Limit,Invocated skills have 30% increased Maximum Energy
9,2,0,Dynamism,40% increased Damage if you've Triggered a Skill Recently\nMeta Skills gain 15% increased Energy
1,1,9,Wither Away,Unwithered enemies are Withered for 8 seconds when they enter your Presence\n20% increased Withered Magnitude
1,9,1,Biting Frost,20% reduced Freeze Duration on Enemies\nEnemies Frozen by you take 20% increased Cold Damage
9,1,1,Lust for Power,10% chance when you gain a Power Charge to gain an additional Power Charge\n+1 to Maximum Power Charges
0,1,9,Spell Haste,15% increased Evasion Rating\n8% increased Cast Speed
0,9,1,Alchemical Oil,30% increased Exposure Effect
1,0,9,Perpetual Freeze,20% increased Freeze Buildup\n15% increased Chill and Freeze Duration on Enemies\n15% increased Magnitude of Chill you inflict
1,9,0,Arcane Nature,12% increased Area of Effect while you have Arcane Surge\n30% increased Spell Damage while you have Arcane Surge
9,0,1,Asceticism,Stun Threshold is based on 30% of your Energy Shield instead of Life
9,1,0,Escalating Mayhem,"10% increased Damage for each Hazard triggered Recently , up to 50%"
0,0,9,Storm Driven,15% of Elemental Damage taken Recouped as Energy Shield
0,9,0,Skullcrusher,20% more Damage against Heavy Stunned Enemies with Maces
9,0,0,Pile On,30% increased effect of Fully Broken Armour
8,8,8,Ancestral Artifice,Melee Attack Skills have +1 to maximum number of Summoned Totems\n20% increased Totem Placement range
8,7,8,Master of Hexes,25% reduced Curse Duration\n18% increased Curse Magnitudes
8,8,7,Artillery Strike,Attack Skills have +1 to maximum number of Summoned Ballista Totems\n15% increased Area of Effect while you have a Totem
6,8,8,Ancestral Conduits,12% increased Attack and Cast Speed if you've summoned a Totem Recently
8,6,8,Trained Deflection,Prevent +6% of Damage from Deflected Hits
8,8,6,Falcon Technique,1% increased Attack Speed per 25 Dexterity
5,8,8,Watchtowers,Recoup 5% of damage taken by your Totems as Life\nEach Totem applies 2% increased Damage taken to Enemies in their Presence
8,5,8,Breath of Ice,Damage Penetrates 15% Cold Resistance\n+10 to Intelligence
8,8,5,Wary Dodging,Cannot be Light Stunned if you haven't been Hit Recently
4,8,8,Storm Swell,Damage Penetrates 15% Cold Resistance\nDamage Penetrates 8% Lightning Resistance
8,8,4,Entropic Incarnation,Minions have +13% to Chaos Resistance\nMinions gain 10% of Physical Damage as Chaos Damage
3,8,8,Spirit of the Wolf,20% increased Critical Hit Chance while Shapeshifted\n8% increased Skill Speed while Shapeshifted
8,3,8,Illuminated Crown,20% increased Light Radius\n70% increased Energy Shield from Equipped Helmet
2,8,8,Leeching Toxins,30% increased Magnitude of Poison you inflict\nRecover 2% of maximum Life on Killing a Poisoned Enemy
8,2,8,Among the Hordes,3% increased Movement Speed\n15% increased Attack Damage\nMinions have 10% increased Movement Speed
8,8,2,Fulmination,80% increased Flammability Magnitude\n40% increased Damage with Hits against Ignited Enemies
1,8,8,Power Conduction,25% increased Shock Duration\n25% increased Magnitude of Shock you inflict
8,1,8,Pure Power,10% more Maximum Lightning Damage
8,8,1,Swift Flight,15% increased Projectile Speed\n20% increased Physical Damage
0,8,8,Perfect Opportunity,30% increased Stun Buildup\nDamage with Hits is Lucky against Heavy Stunned Enemies
8,8,0,Carved Earth,20% increased Totem Damage\n6% increased Attack and Cast Speed if you've summoned a Totem Recently
7,7,8,Scales of the Wyvern,20% faster start of Energy Shield Recharge while Shapeshifted\n20% increased Energy Shield Recharge Rate while Shapeshifted\n+1% to Maximum Lightning Resistance while Shapeshifted
7,8,7,Spiked Shield,2% increased Attack Damage per 75 Item Armour and Evasion Rating on Equipped Shield\n50% increased Defences from Equipped Shield
6,7,8,Ignore Pain,Gain 3 Rage when Hit by an Enemy\nEvery Rage also grants 2% increased Stun Threshold
6,8,7,Bleeding Out,+250 to Accuracy against Bleeding Enemies\nBleeding you inflict deals Damage 10% faster
7,8,6,Equilibrium,30% increased Attack Damage if you've Cast a Spell Recently\n10% increased Cast Speed if you've Attacked Recently
8,6,7,Self Immolation,Ignites you cause are reflected back to you\n40% reduced Magnitude of Ignite on you
8,7,6,Swift Claw,10% increased Skill Speed while Shapeshifted
5,8,7,Dreamcatcher,25% increased Spell Damage while on Full Energy Shield\n75% increased Energy Shield from Equipped Focus
7,8,5,Finesse,10% increased Accuracy Rating\nGain Accuracy Rating equal to your Intelligence
8,7,5,Greatest Defence,4% increased Attack Damage per 75 Item Armour and Evasion Rating on Equipped Shield
4,7,8,Spectral Ward,+1 to Maximum Energy Shield per 12 Item Evasion Rating on Equipped Body Armour
4,8,7,Immortal Infamy,10% increased Energy Shield Recharge Rate\nRecover 2% of maximum Life on Kill\n+10 to Intelligence
7,8,4,Warding Fetish,30% increased Damage per Curse on you\n30% reduced effect of Curses on you\n60% increased Energy Shield from Equipped Focus
8,7,4,Ancestral Unity,Attacks used by Totems have 4% increased Attack Speed per Summoned Totem
3,7,8,Frostwalker,40% reduced Effect of Chill on you\nGain 15% of Damage as Extra Cold Damage while on Chilled Ground
3,8,7,Tides of Change,25% increased Skill Effect Duration
7,3,8,Infusing Power,10% chance when collecting an Elemental Infusion to gain an additional Elemental Infusion of the same type
7,8,3,Boon of the Beast,"When you Shapeshift to Human form, gain 10% increased Spell Damage per second you were Shapeshifted , up to a maximum of 80%, for 8 seconds"
8,3,7,Run and Gun,5% reduced Movement Speed Penalty from using Skills while moving\nProjectile Attacks have a 12% chance to fire two additional Projectiles while moving
8,7,3,Savagery,50% increased Evasion Rating if you've consumed a Frenzy Charge Recently\n+1 to Maximum Frenzy Charges
2,7,8,Off-Balancing Retort,30% increased Parried Debuff Duration
2,8,7,Waning Hindrances,Debuffs on you expire 25% faster
7,2,8,Spray and Pray,20% reduced Accuracy Rating while moving\n50% increased Attack Damage while moving\n5% reduced Movement Speed Penalty from using Skills while moving
7,8,2,Crystal Elixir,40% increased Elemental Damage with Attack Skills during any Flask Effect
8,2,7,Stormwalker,Gain 15% of Damage as Extra Lightning Damage while on Shocked Ground\n40% reduced effect of Shock on you
8,7,2,Flamewalker,40% reduced Magnitude of Ignite on you\nGain 15% of Damage as Extra Fire Damage while on Ignited Ground
